Bosnie;Thesaurus;Nature
Fire;incendie;accident
Drowning Sava;noyade;accident
Drowning Korana;noyade;accident
Drowing Una City;noyade;accident
Drowning;noyade;accident
"Natural death ; possible heart attac";médical;médical
unknown;inconnu;inconnu
Overdose;médical;médical
"Disappeared ; drowning reported";noyade;accident
Traffic accident;accident de transport;
Killed by gun;arme à feu;homicide
run over by train;percussion par un train;
unonwkn;inconnu;inconnu
Hit by train;percussion par un train;
suicide;pendaison;suicide
Stabbed;arme blanche;homicide
"Stabbed ; maybe gunshot";arme blanche;homicide
electrocuted;électrocution;accident
Fight;arme;homicide
drowning;noyade;accident
"Dissapeared ; drowning reported";noyade;accident
Asphyxiation;asphyxie;accident
Homicide;arme;homicide
Found dead;inconnu;inconnu
Gunshot;arme à feu;homicide
Strangulation;arme;homicide
Heart attack;médical;médical
Pneumonia;médical;médical
"unknown ; possible overdose";médical;médical
Rifle shot;arme à feu;homicide
Gangrene ;médical;médical
Spinal tumor;médical;médical
Fall;chute;accident
Car accident;accident de voiture;accident
Natural causes;danger naturel;accident
Meningitis;médical;médical
natural death;danger naturel;accident
traffic accident, he was a pedestrian;accident de transport;
He fall from the height, through an elevator hole in the abandoned building;chute;accident
Burned;incendie;accident
fall from the height in the abandoned object;chute;accident
hit by a car as a pedestrian;percussion par une voiture;accident
he fall on his head through the opening on the roof;chute;accident
he was hit by the train while asleep;percussion par un train;accident
intoxication;asphyxie;accident
He was run by the train while sleeping on the train tracks;percussion par un train;accident
Leukemia;médical;médical
stabbing wounds;arme blanche;homicide
murder, stabbing;arme blanche;homicide
local hunter killed him by accident;arme à feu;homicide
murder, stabbing wound;arme blanche;homicide
he got hit in the head in the conflict;arme à feu;homicide
physical conflict, body had stabbing wounds;arme blanche;homicide
suicide by hanging;pendaison;suicide
traffic accident, apparently he throw himself under the car;accident de transport;accident
Murder;arme;homicide
drowning in the river Una;noyade;accident
Presumed drowning;noyade;accident
Sickness and lack of access to medicine;médical;médical
Hypothermia;hypothermie;accident
Hit by vehicle;percussion par une voiture;accident
Electrocution on railway;électrocution;accident
Fall from vehicle;chute;accident
Fall into a mountain crevice;chute;accident
Suffocation;asphyxie;accident
Violence;arme;homicide
Vehicle Accident;accident de voiture;accident
Shot;arme à feu;homicide
Unknown;inconnu;inconnu
Hypothermia and exhaustion;hypothermie;accident
Fell;chute;accident
Presumed lack of access to food and water, Presumed drowning;mort de faim ou de soif;accident
Presumed exposure;médical;médical
Injuries (inflicted with a cold weapon);arme blanche;homicide
Presumed suffocation;asphyxie;accident
Heart failure (fire);incendie;accident
Injuries inflicted during fight;arme;homicide
Unknown (presumed stabbing);arme blanche;homicide
Presunto congelamento;hypothermie;accident
Annegamento;noyade;accident
Frana;avalanche;accident
Accoltellamento;arme blanche;homicide
Meningite;médical;médical
sparatoria;arme à feu;homicide
Tumore al cervello;médical;médical
Morte naturale;danger naturel;accident
Ferita alla testa;arme;homicide
stabbing wound;arme blanche;homicide
"unknown ; maybe overdose";médical;médical
Collision;percussion;accident
Investimento;accident de transport;
Ritrovato corpo decomposto senza mani e testa;inconnu;inconnu
