1;EXPORT 24JAN24;;MISSING MIGRANTS  - Tracking Deaths Along Migratory Routes;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;;IOM - International Organization for Migration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;www.missingmigrants.iom.int;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;;Missing Migrants Project is a joint initiative of IOM's Global Migration Data Analysis Centre (GMDAC) and Media and Communications Division (MCD). ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;UNITED case ID nr.;Incident ID;Main ID;Web ID    (old);Region of Incident;Website Date;Number Dead;Minimum Estimated Number of Missing;Total Dead and Missing;Number of Survivors;Number of Females;Number of Males;Number of Children;Region of Origin;Country of Origin;Cause of Death;Article title;Location of Death;Information Source;LAT;LONG;URL;Migration Route;Source Quality;Incident Type;UNSD Geographical Grouping;Reported Date;Reported Year;Reported Month;IOM Coordinates Getallen omdraaien, onderste eerst in FM  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
704;;2024.MMP0007;2024.MMP0007;;Mediterranean;10/01/24;2;9;11;24;1;1;;Sub-Saharan Africa (P);Unknown;Drowning;At least three dead as migrant boat capsizes near Lesbos;10 km North of Mitilini, Lesbos, Greece;InfoMigrants, IOM Greece, Efsyn;LAT  39.214156;LONG  26.564986;https://archive.ph/lsgsN;Eastern Mediterranean;4;Incident;Uncategorized;;2024;January;39.214156, 26.564986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3035;;2024.MMP0009;2024.MMP0009;;Northern Africa;09/01/24;1;;1;;;;;Sub-Saharan Africa (P);Unknown;Drowning;Tokra Security, Driana police recovered the body of an illegal immigrant from the beach of the Sidi Ali area;Off the coast of the Sidi Ali area of Tocra, Libya;Address Libya, Alamssar;LAT  32.55058;LONG  20.557715;https://archive.ph/5yr4w;Central Mediterranean;3;Incident;Northern Africa;;2024;January;32.55058, 20.557715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3036;;2024.MMP0006;2024.MMP0006;;Northern Africa;07/01/24;;1;1;1;;1;;Northern Africa;Unknown;Drowning;Rescatan en aguas próximas a Fuerteventura a un migrante sobre un neumático a la deriva;13 nautical miles south Fuerteventura, Las Palmas, Spain;Infobae, Canaria Weekly;LAT  27.730817;LONG  -14.364792;https://archive.ph/CVjiF;Western Africa / Atlantic route to the Canary Islands;1;Incident;Uncategorized;;2024;January;27.730817, -14.364792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1600;;2024.MMP0008;2024.MMP0008;;Mediterranean;06/01/24;;3;3;18;;;;Western / Southern Asia;Unknown;Drowning;Rhodes Shipwreck with 21 refugees and migrants, 18 rescued, 3 missing;In Turkish territorial waters, northeast of the coast of Rhodes, Greece;Torodami;LAT  36.536554;LONG  28.154434;https://archive.ph/4j7RR;Eastern Mediterranean;1;Incident;Uncategorized;;2024;January;36.536554, 28.154434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3037;;2024.MMP0004;2024.MMP0004;;Mediterranean;05/01/24;1;;1;;;;;Northern Africa (P);Unknown;Drowning;Aparece el cadáver de un joven en El Sarchal, el segundo que recupera la Guardia Civil en 48 hora;Near Antigua Cárcel De Mujeres, Fortificación Del Siglo XVII, El Sarchal beach, Ceuta, Spain;Ceuta Actualidad, EFE, infobae;LAT  35.8880262;LONG  -5.3011329;https://archive.ph/m3iNi;Western Mediterranean;3;Incident;Uncategorized;;2024;January;35.8880262, -5.3011329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3038;;2024.MMP0003;2024.MMP0003;;Mediterranean;03/01/24;1;;1;;;1;;Northern Africa (P);Unknown;Drowning;;500m off the coast of El Sarchal beach, Ceuta, Spain;EFE, Infobae, EuropaPress, El Faro de Ceuta;LAT  35.88655897;LONG  -5.300247;https://www.infobae.com/espana/agencias/2024/01/03/hallan-el-cadaver-de-un-inmigrante-flotando-en-el-agua-cerca-de-la-costa-de-ceuta/;Western Mediterranean;3;Incident;Uncategorized;;2024;January;35.88655897, -5.300247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233;;2023.MMP13431440;2023.MMP1343;;Western Africa;30/12/23;5;30;35;15;;;;Western Africa (P);Unknown;Harsh environmental conditions / lack of adequate shelter, food, water;;Around 315-375km south of La Restinga, El Hierro, Spain - Departure from Mauritania, 15 days prior;Salvamento Maritimo, rtve, EFE;LAT  24.93143135;LONG  -17.973932;https://archive.ph/PtGQe;Western Africa / Atlantic route to the Canary Islands;5;Split Incident;Uncategorized;;2023;December;24.93143135, -17.973932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1387;;2023.MMP1345;2023.MMP1345;;Mediterranean;30/12/23;4;;4;1100;;;4;Northern Africa;Morocco;Accidental death;?????? ?????? ??? ?????? ????.. ?????? ??? ????? ???? ???? ?????;In the area of Mariouari, near Beni Ansar, at the border between Nador (Morocco) and Melilla (Spain);IOM Morocco, AMDH Nador, Nadorcity;LAT  35.300969;LONG  -2.968135;https://twitter.com/NadorAmdh/status/1742192519314551186;Western Mediterranean;4;Incident;Uncategorized;;2023;December;35.300969, -2.968135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;;2023.MMP1335;2023.MMP1335;;Mediterranean;29/12/23;15;28;43;27;;;;Unknown;Unknown;Drowning;;Off Sabratha, Libya - embarkation from Sabratha;IOM Libya;LAT  34.27484061;LONG  13.022867;;Central Mediterranean;4;Incident;Uncategorized;;2023;December;34.27484061, 13.022867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3039;;2023.MMP1341;2023.MMP1341;;Mediterranean;29/12/23;1;;1;132;;1;;Southern Asia;Pakistan;Vehicle accident / death linked to hazardous transport;Due sbarchi a Lampedusa, a bordo di un barcone anche un morto;The boat set off from Zuwara, Libya and the death occurred on board on the way to Lampedusa, Italy;Giornale di Sicilia, Sky tg24, Lasicilia.web;LAT  34.286215;LONG  -12.346598;https://agrigento.gds.it/articoli/cronaca/2023/12/29/due-sbarchi-a-lampedusa-a-bordo-di-un-barcone-anche-un-morto-94d18577-f3bb-4294-8de7-d777ab9bb0f3/;Central Mediterranean;3;Incident;Uncategorized;;2023;December;34.286215, -12.346598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
