Italie_CPR;Thesaurus;Nature
Bruciato vivo;incendie;accident
Gravi ustioni riportate il 29.12.1999;incendie;accident
Suicidio;pendaison;suicide
Insufficienza cardiaca;médical;médical
suicidio;pendaison;suicide
Ritardo assistenza;inconnu;inconnu
Ritardo assistenza. Arresto cardiaco;médical;médical
Uscito dal CPR, indebolito/ muore in strada  per il freddo;hypothermie;accident
infarto;médical;médical
arresto cardiorespiratorio;médical;médical
Da chiarire;inconnu;inconnu
Probabile alta dose farmaci;médical;médical
Probabile arresto cardiocircolatorio;accident;accident
