Event id;Date;Year;Description;Location;Source;Source URL;Data set;Del Grande ID;Dead and missing;crossing-to;crossing-from;death-in;lng;lat;route;Cause of death
1350;04/01/2000 01:00;2000;Landing in Vieste (Foggia), 1 young man bangs his head on the way down from the hull and dies (Jan 4, 2000);foggia;Ansa;http://dea.ansa.it/;Del grande;284;1;;;Italy;15.54463;41.462198;;
1348;06/01/2000 01:00;2000;Found in Tarifa the bodies of 8 young people drowned in a shipwreck (Jan 6, 2000);tarifa;El Pais;http://www.elpais.com/articulo/espana/ESPAnA/Recuperado/cadaver/magrebi/ahogado/aguas/Tarifa/elpepiesp/20000106elpepinac_23/Tes;Del grande;286;8;;;Spain;-5.600819;36.018776;Western Mediteranean route;
1347;06/01/2000 01:00;2000;Landing in Lecce, who died a young man who had slammed his head violently against the hull during the trip (Jan 6, 2000);lecce;Ansa;http://dea.ansa.it/;Del grande;287;1;;;Italy;18.175016;40.351516;Apulia & Calbria;
1346;07/01/2000 01:00;2000;Flips a truck they were traveling hidden 80 people, Komotini near the border with Turkey, 6 dead and 30 injured (Jan 7, 2000);komotini;Ansa;http://dea.ansa.it/;Del grande;288;6;;;Greece;25.406558;41.122439;Eastern Mediteranean route Land;
1341;16/02/2000 01:00;2000;Recovered the bodies of two drowned along the coast of Lecce (Feb 16, 2000);lecce;Ansa;http://dea.ansa.it/;Del grande;293;2;;;Italy;18.175016;40.351516;Apulia & Calbria;
1340;06/03/2000 01:00;2000;Tucked away on a ship that was entering the port of Bari a man diving into the sea and drowns (Mar 6, 2000);bari;Ansa;http://dea.ansa.it/;Del grande;294;1;;;Italy;16.871871;41.117143;Apulia & Calbria;
1339;08/03/2000 01:00;2000;Found the body of a man who drowned trying to cross the Oder River on the border between Poland and Germany in Frankfurt (Mar 8, 2000);frankfurt;Ministero interni tedesco;http://www.bmi.bund.de/;Del grande;295;1;;;Germany;8.682127;50.110922;;
1338;11/03/2000 01:00;2000;It overturns a boat load of immigrants into the Danube River, on the border between Slovakia and Austria, 4 dead (Mar 11, 2000);slovakia;Irr;https://www.irr.org.uk/cgi-bin/news/open.pl?id=626;Del grande;296;4;;;Austria;19.699024;48.669026;;
1334;04/04/2000 02:00;2000;Rescued off the coast of Almeria 5 guys adrift on a raft. One of them dies before reaching the port of Carboneras (Apr 4, 2000);carboneras;El Pais;http://www.elpais.com/articulo/espana/ESPAnA/ESPAnA/MARRUECOS/magrebi/muere/pasar/varios/dias/deriva/patera/elpepiesp/20000404elpepinac_28/Tes;Del grande;300;1;;;Spain;-1.892141;36.999117;Western Mediteranean route;
1331;14/04/2000 02:00;2000;Hidden in the hold of a freighter Moroccan, 2 men fall into the sea between the docks of Genoa, 1 dead (Apr 14, 2000);genoa;Ansa;http://dea.ansa.it/;Del grande;303;1;;;Italy;8.946256;44.40565;;
1330;15/04/2000 02:00;2000;2 found dead young hidden in a truck directly in Spain just landed in the port of Almeria (Apr 15, 2000);almeria;El Pais;http://www.elpais.com/articulo/espana/Hallados/muertos/inmigrantes/camion/puerto/Almeria/elpepiesp/20000415elpepinac_16/Tes;Del grande;304;2;;;Spain;-2.463714;36.834047;Western Mediteranean route;
1328;19/04/2000 02:00;2000;Landing along the coasts of Lecce, 1 dead (Apr 19, 2000);lecce;Ansa;http://dea.ansa.it/;Del grande;306;1;;;Italy;18.175016;40.351516;Apulia & Calbria;
1327;20/04/2000 02:00;2000;Found in Lanzarote the corpse of a drowned woman during the landing of the first day (Apr 20, 2000);lanzarote;El Pais;http://www.elpais.com/articulo/espana/ESPAnA/Hallado/cadaver/subsahariana/desaparecida/aguas/Lanzarote/elpepiesp/20000420elpepinac_8/Tes;Del grande;307;1;;;Spain;-13.589973;29.046854;Western African route;
1325;24/04/2000 02:00;2000;He died at the hospital in Lecce Man seriously injured after being thrown overboard by traffickers in the land along the coasts of Lecce on April 19 (Apr 24, 2000);lecce;Ansa;http://dea.ansa.it/;Del grande;309;1;;;Italy;18.175016;40.351516;Apulia & Calbria;
1323;01/05/2000 02:00;2000;Shipwreck in the stormy waters of the Strait of Gibraltar. One survivor, 1 body recovered and 20 missing (May 1, 2000);gibraltar;El Pais;http://www.elpais.com/articulo/espana/ESPAnA/Busqueda/infructuosa/inmigrantes/naufragio/Estrecho/elpepiesp/20000501elpepinac_5/Tes;Del grande;311;21;;;Spain;-5.353585;36.140751;Western Mediteranean route;
1322;01/05/2000 02:00;2000;Found on the sides of a street in Cadiz the corpse of a migrant died under the wheels of the truck in which he was traveling hidden (May 1, 2000);cadiz;El Pais;http://www.elpais.com/articulo/espana/ESPAnA/Hallado/cadaver/papeles/atropellado/Cadiz/elpepiesp/20000501elpepinac_4/Tes;Del grande;312;1;;;Spain;-6.288596;36.527061;Western Mediteranean route;
1321;02/05/2000 02:00;2000;Found the body of a man who drowned trying to cross the river Neisse border between Poland and Germany, to Porajov (May 2, 2000);neisse;Ministero interni tedesco;http://www.bmi.bund.de/;Del grande;313;1;;;Germany;17.329586;50.482286;;
1319;05/05/2000 02:00;2000;A boat heading to the Canary Islands in the waters of Laayoun capsizes, 12 dead (May 5, 2000);laayoun;El Pais;http://www.elpais.com/articulo/espana/ESPAnA/docena/ahogados/naufragar/barca/frente/costas/Sahara/elpepiesp/20000505elpepinac_16/Tes;Del grande;315;12;;;Sahara;-13.203333;27.153611;Western African route;
1318;07/05/2000 02:00;2000;Found the body of a man who drowned trying to cross the Oder River on the border between Poland and Germany, in Kienitz (May 7, 2000);kienitz;Ministero interni tedesco;http://www.bmi.bund.de/;Del grande;316;1;;;Germany;14.361496;52.643661;;
1317;08/05/2000 02:00;2000;A dead man in a minefield along the Evros River, the border between Turkey and Greece, while crossing the border on foot (May 8, 2000);evros;Athen News;http://www.icbl.org/lm/2000/greece#fnB3641;Del grande;317;1;;;Greece;26.135943;41.244376;Eastern Mediteranean route Land;
1316;08/05/2000 02:00;2000;Shipwreck in the Straits of Gibraltar, on routes to Cadiz, 3 dead and 11 missing (May 8, 2000);cadiz;El Pais;http://www.elpais.com/articulo/espana/ESPAnA/ESPAnA/MARRUECOS/muertos/once/desaparecidos/nuevo/naufragio/Estrecho/Gibraltar/elpepiesp/20000508elpepinac_27/Tes;Del grande;318;13;;;Spain;-6.288596;36.527061;Western Mediteranean route;
1314;13/05/2000 02:00;2000;Inflatable Party from Morocco crashing against the rocks in Tarifa, 6 dead (May 13, 2000);tarifa;El Pais;http://www.elpais.com/articulo/espana/ESPAnA/inmigrantes/mueren/ahogados/Tarifa/elpepiesp/20000513elpepinac_11/Tes;Del grande;320;6;;;Spain;-5.600819;36.018776;Western Mediteranean route;
1313;16/05/2000 02:00;2000;The Turkish police opened fire on a group of migrants in Dogubayazit, near Agri, while they were crossing the border illegally with Iran. 9 dead and 5 injured (May 16, 2000);dogubayazit;Ananova;http://www.icare.to/archivemay2000.html;Del grande;321;9;;;Turkey;44.074207;39.54864;;
1312;21/05/2000 02:00;2000;He died killed a young migrant detained in the police station on Lanzarote, in the Canary Islands (May 21, 2000);lanzarote;El Pais;http://www.elpais.com/articulo/espana/FONSECA/_ANTONIO_AUGUSTO_/GUINEANO_FALLECIDO/CANARIAS/ESPAnA/aFRICA/guineano/muere/comisaria/Arrecife/ser/arrestado/cuerpo/presenta/huellas/golpes/denuncia/familia/elpepiesp/20000521elpepinac_9/Tes;Del grande;322;1;;;Spain;-13.589973;29.046854;Western African route;
1310;05/06/2000 02:00;2000;Stockholm Airport. Found the bodies of two men frozen to death in the undercarriage of a plane departed from Dominican Republic (Jun 5, 2000);stockholm;Bbc;http://news.bbc.co.uk/2/hi/americas/778048.stm;Del grande;324;1;;;Sweden;18.06491;59.32893;;
1309;06/06/2000 02:00;2000;Landing along the coasts of Lecce, 2 dead (Jun 6, 2000);lecce;Ansa;http://dea.ansa.it/;Del grande;325;2;;;Italy;18.175016;40.351516;Apulia & Calbria;
1308;14/06/2000 02:00;2000;Shipwreck off the island Mohli, on routes to Mayotte, in the Indian Ocean, 19 dead (Jun 14, 2000);mayotte;Mayotte sans frontires;http://mayottesansfrontieres.blogspot.com/2006_01_01_archive.html;Del grande;326;19;;;Mayotte;45.166244;-12.8275;;
1306;07/07/2000 02:00;2000;20 killed in two separate wrecks off the coast of Mayotte (Jul 7, 2000);mayotte;Mayotte sans frontires;http://mayottesansfrontieres.blogspot.com/2006_01_01_archive.html;Del grande;328;20;;;Mayotte;45.166244;-12.8275;;
1305;10/07/2000 02:00;2000;Found the body of a migrant to the sides of the N-340 in Almeria, probably died after being abandoned on the road where the truck was traveling (Jul 10, 2000);almeria;El Pais;http://www.elpais.com/articulo/espana/ESPAnA/MARRUECOS/Hallado/cadaver/magrebi/cuneta/Almeria/elpepiesp/20000710elpepinac_12/Tes;Del grande;329;1;;;Spain;-2.463714;36.834047;Western Mediteranean route;
1303;10/07/2000 02:00;2000;Lecce: a landing boat, dead baby of 9 months, falling sugliscogli (Jul 10, 2000);lecce;La Repubblica;http://archivio.repubblica.extra.kataweb.it/archivio;Del grande;331;1;;;Italy;18.175016;40.351516;Apulia & Calbria;
1300;24/07/2000 02:00;2000;Landings in Algeciras, 4 drowned (Jul 24, 2000);algeciras;Ansa;http://dea.ansa.it/;Del grande;334;4;;;Spain;-5.453909;36.132977;Western Mediteranean route;
1299;04/08/2000 02:00;2000;Party from Domoni (Anjouan) a kwassa-kwassa is shipwrecked off the coast of Mayotte, 6 dead (Aug 4, 2000);mayotte;Mayotte sans frontires;http://mayottesansfrontieres.blogspot.com/2006_01_01_archive.html;Del grande;335;6;;;Mayotte;45.166244;-12.8275;;
1298;07/08/2000 02:00;2000;He died crushed a young man hiding under a truck along the N-340 towards Malaga (Aug 7, 2000);malaga;El Pais;http://www.elpais.com/articulo/espana/ESPAnA/ESPAnA/MARRUECOS/Muere/aplastado/inmigrante/viajaba/bajos/camion/elpepiesp/20000807elpepinac_16/Tes;Del grande;336;1;;;Spain;-4.421266;36.721261;Western Mediteranean route;
1297;08/08/2000 02:00;2000;Shipwreck off the coast of Anjouan, on routes to the French island of Mayotte, 9 dead (Aug 8, 2000);mayotte;Mayotte sans frontires;http://mayottesansfrontieres.blogspot.com/2006_01_01_archive.html;Del grande;337;9;;;Mayotte;45.166244;-12.8275;;
1296;08/08/2000 02:00;2000;Shipwreck off Soulou, Mayotte, 10 dead (Aug 8, 2000);mayotte;Mayotte sans frontires;http://mayottesansfrontieres.blogspot.com/2006_01_01_archive.html;Del grande;338;10;;;Mayotte;45.166244;-12.8275;;
1295;09/08/2000 02:00;2000;Shipwreck off the coast of Sada, Mayotte: 10 dead (Aug 9, 2000);sada;Mayotte sans frontires;http://mayottesansfrontieres.blogspot.com/2006_01_01_archive.html;Del grande;339;10;;;France;-8.255738;43.355524;;
1294;09/08/2000 02:00;2000;Bari thrown overboard by smugglers during the landing. 2 dead, 2 missing (Aug 9, 2000);bari;La Repubblica;http://archivio.repubblica.extra.kataweb.it/archivio;Del grande;340;4;;;Italy;16.871871;41.117143;Apulia & Calbria;
