FECHA;LUGAR;ZONA;RUTA;DESAPARECIDO;MUERTO;NOTA;FUENTE;FUENTE2;FUENTE3
03/01/2023;Sidi Ifni - Marruecos;Marruecos;Canarias;0;14;AMDH reporta que en el naufragio en las costas de Sidi Ifni- Marruecos perdieron la vida finalmente 14 personas.;https://cutt.ly/Iw1cTSPr;;
04/01/2023;Fuerteventura;Canarias;Canarias;0;2;Aparecen el cuerpo de un hombre y una mujer en diferentes zonas de Fuerteventura.;https://cutt.ly/Bw1cYyyJ;;
09/01/2023;Almería;Almería;Alborán;0;1;Aparece el cuerpo de un hombre de origen magrebí en la playa de Rambla Morales en Almería.;https://cutt.ly/Ww1cYPbd;;
13/01/2023;Ceuta;Ceuta;Ceuta;0;1;GEAS de la GC recuperan el cuerpo de un joven marroquí en el muelle de Poniente.;https://cutt.ly/tw1cY94A;;
14/01/2023;Cabo Verde;Cabo Verde;Canarias;0;2;90 personas son rescatadas en Cabo Verde tras salir de Gambia. 2 hombres fallecidos.;https://cutt.ly/iw1cUubr;;
15/01/2023;Marruecos-Tetuán;Marruecos;Estrecho;0;1;Se encuentra el cuerpo de un joven marroquí en el norte de Marruecos.;https://cutt.ly/Cw1cUg4u*;;
18/01/2023;Argelia-Orán;Argelia;Alborán;15;0;Naufraga una patera con 15 personas en las costas de Orán. 15 personas desaparecidas.;"https://cutt.ly/9w1cUQv5
https://cutt.ly/zw1cUAb6";;
19/01/2023;Fuerteventura;Canarias;Canarias;0;1;Aparece un cadáver en Fuerteventura. Se sospecha que puede ser del naufragio de los primeros días de enero, pero su alto estado de descomposición impide determinar el origen e incluso el sexo.;https://cutt.ly/Hw1cUXMO;;
21/01/2023;Argelia;Argelia;Melilla;0;1;AMDH reporta la muerte de una joven marroquí en la frontera con Argelia.;https://cutt.ly/iw1cU8CM;;
25/01/2023;Ceuta;Ceuta;Ceuta;0;1;Geas de GC recuperan el cuerpo de un hombre magrebí con traje de neopreno en el Muelle de España - Ceuta.;https://cutt.ly/vw1cIy24*;;
26/01/2023;Yerada - Marruecos;Marruecos;Melilla;0;2;AMDH Nador reporta el entierro de 2 personas que murieron en la frontera de Marruecos con Argelia.;https://cutt.ly/tw1cIdig;;
26/01/2023;Ceuta;Ceuta;Ceuta;0;1;Moussa, un chico guineano residente del CETI se suicida en el bosque cercano.;https://cutt.ly/0w1cIvDp*;;
28/01/2023;Ceuta;Ceuta;Ceuta;0;1;Entierran el cadáver de un joven llamado Mohamed Jaourhay que falleció en la embarcación llegada a El Sarchal.;https://cutt.ly/Jw1cIIEx;;
31/01/2023;Ceuta;Ceuta;Ceuta;0;1;Aparece el cuerpo de un hombre en la playa de la Ribera - Ceuta. Se llamaba Bilal, 23 años y originario de Tetuán.;https://cutt.ly/Ww1cIJKc*;;
01/02/2023;Marruecos-Layoune;Sahara;Canarias;0;5;Fallecen 5 personas en un accidente de autobús. 52 personas estaban siendo deportadas al sur del país.;"https://cutt.ly/Ow1cIVid
https://cutt.ly/uw1cI3ha";;
01/02/2023;Ceuta;Ceuta;Ceuta;0;1;GC recupera el cuerpo de un hombre en El Chorrillo - Ceuta. Es el segundo del día.;;https://cutt.ly/ow1cOrrV;
01/02/2023;Ceuta;Ceuta;Ceuta;0;1;Un pesquero avista el cuerpo de un hombre a media milla de la playa de Juan XXIII.;;https://cutt.ly/Uw1cOaBA*;
02/02/2023;Almería;Almería;Alborán;0;2;Naufraga una patera con 15 personas en las costas de Almería. 13 supervivientes y 2 cuerpos encontrados.;;https://cutt.ly/ow1cOjBW;
02/02/2023;Ceuta;Ceuta;Ceuta;1;0;Desaparece una persona en el naufragio de la patera que llegó al Sarchal.;;https://cutt.ly/9w1cObeL*;
