data;url;url2;lieu;text;source
02/02/16;http://www.hurriyetdailynews.com/nine-migrants-drown-off-turkeys-aegean-coast.aspx?pageID=238&nID=94644&NewsCatID=341;http://www.hurriyetdailynews.com/nine-migrants-drown-off-turkeys-aegean-coast.aspx?pageID=238&nID=94644&NewsCatID=341;Turchia;Si rovescia in mare un gommone con una ventina di passeggeri a bordo davanti alla costa di Seferihisar, nel distretto di ?zmir. 11 superstiti e 9 morti, tra cui 2 bambini;Hurriyet
31/01/16;http://www.hurriyetdailynews.com/Default.aspx?pageID=238&nid=94597&NewsCatID=341;http://www.hurriyetdailynews.com/Default.aspx?pageID=238&nid=94597&NewsCatID=341;Turchia;Pescatore soccorre un gommone in difficoltà nelle acque di Didim, nel distretto di Ayd?n, sulla rotta per l'isola greca di Farmakonisi. Si salvano in 12, le vittime sono 3, tra cui 2 bambini;Hurriyet
30/01/16;http://militarynewsfromitaly.com/2016/01/28/marina-militare-nave-aliseo-soccorre-290-migranti-nello-stretto-di-sicilia/;http://militarynewsfromitaly.com/2016/01/28/marina-militare-nave-aliseo-soccorre-290-migranti-nello-stretto-di-sicilia/;Turchia;Naufragio davanti alle coste turche di Ayvacik. Si rovescia in mare un'imbarcazione di 17 metri con un centinaio di passeggeri siriani a bordo. In salvo 75 persone. Recuperati i corpi di 37 vittime, compresi una decina di bambini;SBS
28/01/16;http://militarynewsfromitaly.com/2016/01/28/marina-militare-nave-aliseo-soccorre-290-migranti-nello-stretto-di-sicilia/;http://militarynewsfromitaly.com/2016/01/28/marina-militare-nave-aliseo-soccorre-290-migranti-nello-stretto-di-sicilia/;Libia;La nave Aliseo della Marina Militare italiana salva 74 naufraghi su un gommone in affondamento al largo delle coste libiche, recuperando 6 salme. L’elicottero della nave Margottini continua la ricerca di eventuali dispersi;Marina Militare
28/01/16;http://www.theguardian.com/world/2016/jan/29/germany-tightens-borders-as-finland-joins-sweden-in-deporting-refugees;http://www.theguardian.com/world/2016/jan/29/germany-tightens-borders-as-finland-joins-sweden-in-deporting-refugees;Bulgaria;Ritrovati i corpi senza vita di 2 uomini morti per assideramento tentando di varcare a piedi il confine tra la Bulgaria e la Serbia;The Guardian
28/01/16;http://www.theguardian.com/world/2016/jan/28/several-dead-refugee-boat-sinks-greek-coast-samos;http://www.theguardian.com/world/2016/jan/28/several-dead-refugee-boat-sinks-greek-coast-samos;Grecia;Si aggrava il bilancio del naufragio di Samos. La Guardia Costiera greca ha annunciato di aver recuperato 25 cadaveri dal mare, tra cui quelli di 18 bambini. Continuano le ricerche di altri 10 passeggeri dati per dispersi;The Guardian
28/01/16;http://www.lastampa.it/2016/01/28/esteri/barcone-affonda-davanti-alle-coste-della-grecia-morti-13AzxRTauLohhwXZETO0kM/pagina.html;http://www.lastampa.it/2016/01/28/esteri/barcone-affonda-davanti-alle-coste-della-grecia-morti-13AzxRTauLohhwXZETO0kM/pagina.html;Grecia;Naufragio al largo dell'isola di Samos, salvi 10 passeggeri. Recuperati 12 morti, tra i quali 5 bambini e 3 bambine. Continuano le ricerche dei 20 dispersi;La Stampa
26/01/16;http://aa.com.tr/en/turkey/at-least-four-die-after-boat-sinks-off-western-turkey/510778;http://aa.com.tr/en/turkey/at-least-four-die-after-boat-sinks-off-western-turkey/510778;Turchia;I corpi senza vita di 4 persone, tra cui 3 bambini, sono stati ritrovati in mare al largo di Didim, nella provincia di Aydin. Si cercano eventuali superstiti;Anadolu
26/01/16;http://aa.com.tr/en/turkey/seven-die-as-boat-sinks-off-western-turkey/511373;http://aa.com.tr/en/turkey/seven-die-as-boat-sinks-off-western-turkey/511373;Turchia;Un naufragio al largo di Mugla, Bodrum, sulla rotta del contrabbando per l'isola greca di Kos provoca 7 morti;Anadolu
22/01/16;http://www.ekathimerini.com/205322/article/ekathimerini/news/at-least-44-migrants-dead-as-boats-sink-on-way-to-greece;http://www.ekathimerini.com/205322/article/ekathimerini/news/at-least-44-migrants-dead-as-boats-sink-on-way-to-greece;Grecia;Secondo l'Organizzazione internazionale per le Migrazioni, dal primo al 18 gennaio sono morte 113 persone in 31 mila sbarchi sulle isole greche;Ekathimerini
22/01/16;http://www.ekathimerini.com/205322/article/ekathimerini/news/at-least-44-migrants-dead-as-boats-sink-on-way-to-greece;http://www.ekathimerini.com/205322/article/ekathimerini/news/at-least-44-migrants-dead-as-boats-sink-on-way-to-greece;Grecia;Si aggrava il bilancio del naufragio di oggi a Kalolymnos. Il numero totale dei corpi ripescati dal mare sale a 44. Si tratta di 17 bambini, 17 donne e 10 uomini;Ekathimerini
22/01/16;http://www.theguardian.com/world/2016/jan/22/dozens-dead-as-two-boats-sink-off-greece;http://www.theguardian.com/world/2016/jan/22/dozens-dead-as-two-boats-sink-off-greece;Grecia;Naufragio al largo dell'isola Kalolymnos. La polizia portuale trae in salvo soltanto 26 delle 100 persone a bordo. Dal mare vengono recuperato 34 corpi. Dispersi gli altri 30 passeggeri;The Guardian
22/01/16;http://www.theguardian.com/world/2016/jan/22/dozens-dead-as-two-boats-sink-off-greece;http://www.theguardian.com/world/2016/jan/22/dozens-dead-as-two-boats-sink-off-greece;Grecia;Un'imbarcazione con 49 passeggeri a bordo si arena nella notte sugli scogli di Farmakonissi. In 40 riescono a guadagnare terra, una bambina viene salvata in mare, ma altri 6 bambini e 2 donne muoiono annegati;The Guardian
22/01/16;http://www.theguardian.com/world/2016/jan/22/dozens-dead-as-two-boats-sink-off-greece;http://www.theguardian.com/world/2016/jan/22/dozens-dead-as-two-boats-sink-off-greece;Turchia;La Guardia Costiera turca soccorre sei naufraghi nelle acque di Dydyma e ripesca 3 corpi senza vita in mare;The Guardian
