UE_Sud;Thesaurus;Nature
acute edema of the glottis;médical;médical
acute reaction to toxic substances;médical;médical
asphyxia;asphyxie;accident
asthma;médical;médical
carbon monoxide poisoning;empoisonnement;accident
cardiac arrest;médical;médical
cardiac failure;médical;médical
cardiogenic shock;médical;médical
cardiorespiratory arrest;médical;médical
cardiorespiratory failure;médical;médical
cardiorespiratory failure of undetermined origin;médical;médical
cerebral anoxia;médical;médical
dehydration;mort de faim ou de soif;
drowning;noyade;accident
heart attack;médical;médical
hemothorax;médical;médical
hypothermia;hypothermie;accident
inhalation of toxic gas;asphyxie;accident
injury;médical;médical
injury sustained from being crushed;accident de transport;accident
injury sustained from car accident;accident de voiture;accident
injury sustained from fall;chute;accident
injury sustained from train accident;accident de train;accident
injury to the head;médical;médical
injury to the head and torso;médical;médical
injury to the head, acute brain trauma;médical;médical
injury to the head, brain trauma;médical;médical
injury to the head, cranial fracture;médical;médical
injury to the thorax;médical;médical
injury, polytrauma;médical;médical
internal bleeding;médical;médical
internal brain haemorrhage;médical;médical
mine explosion;mine;accident
multiorgan failure;médical;médical
pathological causes;médical;médical
post traumatic encephalopathy;médical;médical
pulmonary edema;médical;médical
pulmonary embolism;médical;médical
pulmonary infection;médical;médical
respiratory failure;médical;médical
respiratory failure of undetermined origin;médical;médical
rupture of lungs, heart and aorta;médical;médical
shock (hemorrhagic);médical;médical
shock (hemorrhagic, traumatic);médical;médical
shock (septic);médical;médical
shock (traumatic);médical;médical
shot;arme à feu;homicide
starvation;mort de faim ou de soif;accident
sudden death;médical;médical
suffocation;asphyxie;accident
trauma;médical;médical
undetermined due to decomposition;inconnu;inconnu
undetermined due to postmortem injury;inconnu;inconnu
